78,82,312,308,317,87
"[0.3582155406475067, 0.6329221725463867]","[0.4226108491420746, 0.622535228729248]","[0.4659650921821594, 0.621957540512085]","[0.5210764408111572, 0.6305837631225586]","[0.46571946144104004, 0.6272990107536316]","[0.4212304949760437, 0.6279381513595581]"
"[0.3588416576385498, 0.6305980086326599]","[0.42173707485198975, 0.6215222477912903]","[0.4635705351829529, 0.6213272213935852]","[0.518295168876648, 0.6296449303627014]","[0.46303433179855347, 0.6254210472106934]","[0.42001745104789734, 0.6256664991378784]"
"[0.3623727858066559, 0.6310598850250244]","[0.4256404936313629, 0.6218305230140686]","[0.4657555818557739, 0.6215497851371765]","[0.5186121463775635, 0.629947304725647]","[0.4663127064704895, 0.6257291436195374]","[0.4240758717060089, 0.6260325908660889]"
"[0.35907626152038574, 0.6316367387771606]","[0.4241642355918884, 0.6227589249610901]","[0.46621739864349365, 0.6224691867828369]","[0.5212462544441223, 0.630467414855957]","[0.4667789340019226, 0.6259828805923462]","[0.4230364263057709, 0.6263290643692017]"
"[0.3612653911113739, 0.6313061714172363]","[0.4251459836959839, 0.6222622394561768]","[0.46601444482803345, 0.6220041513442993]","[0.5190325975418091, 0.6302151083946228]","[0.46636083722114563, 0.62579345703125]","[0.42362719774246216, 0.6260953545570374]"
"[0.3606933355331421, 0.6315653324127197]","[0.42476579546928406, 0.6221852898597717]","[0.4658242464065552, 0.6218077540397644]","[0.5188885927200317, 0.6300275921821594]","[0.4661547541618347, 0.625421941280365]","[0.42341890931129456, 0.6258604526519775]"
"[0.3623436689376831, 0.6316074132919312]","[0.4254111051559448, 0.6225444674491882]","[0.4661847949028015, 0.6221448183059692]","[0.5195028185844421, 0.6299110651016235]","[0.4665186405181885, 0.6255173087120056]","[0.4240596294403076, 0.6259322762489319]"
"[0.3616809844970703, 0.6305779218673706]","[0.42414426803588867, 0.6216362714767456]","[0.4644586145877838, 0.6213359236717224]","[0.5170472860336304, 0.6293668746948242]","[0.4647769629955292, 0.6247127652168274]","[0.4228347837924957, 0.6250332593917847]"
"[0.3620888590812683, 0.6305899620056152]","[0.4241431653499603, 0.6213827133178711]","[0.46399927139282227, 0.6209864020347595]","[0.5166203379631042, 0.6290755867958069]","[0.4646206498146057, 0.6243444681167603]","[0.4229479134082794, 0.6247570514678955]"
"[0.36199939250946045, 0.6311317682266235]","[0.42451369762420654, 0.6216495633125305]","[0.46462181210517883, 0.6212204694747925]","[0.5172610878944397, 0.6294409036636353]","[0.4651962220668793, 0.6249276995658875]","[0.42324262857437134, 0.6253871321678162]"
"[0.3610084354877472, 0.6313910484313965]","[0.42375507950782776, 0.6219759583473206]","[0.46429702639579773, 0.6214635968208313]","[0.5177618861198425, 0.629423975944519]","[0.4646961987018585, 0.6249352693557739]","[0.422485888004303, 0.6254780292510986]"
"[0.36131006479263306, 0.6311939358711243]","[0.425593763589859, 0.6227380037307739]","[0.46720823645591736, 0.6224125623703003]","[0.5197240710258484, 0.6298545002937317]","[0.46726760268211365, 0.6263700723648071]","[0.4242653548717499, 0.6267333626747131]"
"[0.36175963282585144, 0.6305432319641113]","[0.4266766607761383, 0.6220476627349854]","[0.46874210238456726, 0.621765673160553]","[0.5217231512069702, 0.6294118762016296]","[0.46912431716918945, 0.6259887218475342]","[0.4255571663379669, 0.6262913346290588]"
"[0.36278313398361206, 0.6311156153678894]","[0.4269927144050598, 0.62258380651474]","[0.4688742458820343, 0.6223058700561523]","[0.5219359397888184, 0.629982054233551]","[0.4691521227359772, 0.6266500949859619]","[0.42570656538009644, 0.6269516348838806]"
